0,1
Datasets\captcha_images_v3\28624.png,28624
Datasets\captcha_images_v3\34645.png,34645
Datasets\captcha_images_v3\32738.png,32738
Datasets\captcha_images_v3\55356.png,55356
Datasets\captcha_images_v3\73369.png,73369
Datasets\captcha_images_v3\53385.png,53385
Datasets\captcha_images_v3\44587.png,44587
Datasets\captcha_images_v3\00052.png,00052
Datasets\captcha_images_v3\35283.png,35283
Datasets\captcha_images_v3\39168.png,39168
Datasets\captcha_images_v3\16162.png,16162
Datasets\captcha_images_v3\53729.png,53729
Datasets\captcha_images_v3\02791.png,02791
Datasets\captcha_images_v3\20400.png,20400
Datasets\captcha_images_v3\22225.png,22225
Datasets\captcha_images_v3\26395.png,26395
Datasets\captcha_images_v3\99274.png,99274
Datasets\captcha_images_v3\70247.png,70247
Datasets\captcha_images_v3\02502.png,02502
Datasets\captcha_images_v3\91993.png,91993
Datasets\captcha_images_v3\49692.png,49692
Datasets\captcha_images_v3\75949.png,75949
Datasets\captcha_images_v3\11698.png,11698
Datasets\captcha_images_v3\61421.png,61421
Datasets\captcha_images_v3\71321.png,71321
Datasets\captcha_images_v3\44695.png,44695
Datasets\captcha_images_v3\14359.png,14359
Datasets\captcha_images_v3\18456.png,18456
Datasets\captcha_images_v3\33079.png,33079
Datasets\captcha_images_v3\64366.png,64366
Datasets\captcha_images_v3\13659.png,13659
Datasets\captcha_images_v3\45290.png,45290
Datasets\captcha_images_v3\48000.png,48000
Datasets\captcha_images_v3\56767.png,56767
Datasets\captcha_images_v3\34364.png,34364
Datasets\captcha_images_v3\74308.png,74308
Datasets\captcha_images_v3\15820.png,15820
Datasets\captcha_images_v3\68267.png,68267
Datasets\captcha_images_v3\80666.png,80666
Datasets\captcha_images_v3\66615.png,66615
Datasets\captcha_images_v3\53019.png,53019
Datasets\captcha_images_v3\37608.png,37608
Datasets\captcha_images_v3\29772.png,29772
Datasets\captcha_images_v3\42830.png,42830
Datasets\captcha_images_v3\67614.png,67614
